date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
02/15/2012 12:00:00 AM,3.64,7.76,100,7.55,92,5.74,10.6,
09/15/2003 12:00:00 AM,4.43,8.65,100,6.70,94.8,4.00,2.7,4.49
01/15/2010 12:00:00 AM,5.61,7.82,100,7.69,94.6,6.16,8.3,6.62
07/15/2004 12:00:00 AM,3.75,10.99,100,8.06,93.9,6.49,1.5,5.66
02/15/2000 12:00:00 AM,2.99,5.18,,4.81,98.1,,,
06/15/2013 12:00:00 AM,6.78,11.53,100,8.62,92.6,7.08,5.8,
01/15/1995 12:00:00 AM,2.63,4.51,,4.23,95.9,,,
06/15/1998 12:00:00 AM,2.43,16.25,,4.84,91.6,,,
03/15/1994 12:00:00 AM,3.57,4.64,,4.29,95.7,,,
05/15/2006 12:00:00 AM,7.65,11.21,100,9.08,92,11.52,1.1,5.77
01/15/2008 12:00:00 AM,6.72,8.51,100,8.25,96.4,7.11,0.7,6.67
08/15/2016 12:00:00 AM,4.81,14.22,100,9.27,89.4,6.31,4.3,
03/15/1998 12:00:00 AM,2.45,4.57,,4.33,96.1,,,
05/15/2016 12:00:00 AM,3.25,7.06,100,6.15,93.3,4.25,7.2,
08/15/2006 12:00:00 AM,7.57,13.37,100,9.33,95.4,11.37,2,6.52
12/15/2014 12:00:00 AM,4.92,8.15,100,7.82,95.8,6.22,9.6,5.21
07/15/1989 12:00:00 AM,4.16,5.70,,4.32,95,,,
09/15/2001 12:00:00 AM,2.89,13.00,,9.70,100,6.70,1.7,
11/15/1992 12:00:00 AM,2.74,4.50,,3.91,93.7,,,
10/15/1990 12:00:00 AM,3.06,5.34,,4.16,94.6,,,
05/15/1994 12:00:00 AM,3.62,5.06,,4.37,95.3,,,
11/15/1999 12:00:00 AM,3.52,5.80,,4.70,98,,,
10/15/1993 12:00:00 AM,3.55,5.03,,4.18,90.6,,,
07/15/2007 12:00:00 AM,5.86,10.69,100,7.70,95.7,6.98,1.3,4.01
